"","year","state","county","commodity","damagecause","loss","count","acres","lossperacre","lossperclaim","acresperclaim"
"37179",2008,"ID","Lincoln","SUGAR BEETS","Cold Wet Weather",13038,1,176,74.0795454545455,13038,176
"37180",2009,"ID","Lincoln","SUGAR BEETS","Cold Wet Weather",2494,1,58,43,2494,58
"37181",2010,"ID","Lincoln","SUGAR BEETS","Cold Wet Weather",5574.81,1,137.394,40.5753526354863,5574.81,137.394
"37185",2003,"OR","Malheur","SUGAR BEETS","Cold Wet Weather",29818,2,81.7,364.969400244798,14909,40.85
"37186",2004,"OR","Malheur","SUGAR BEETS","Cold Wet Weather",4446,1,114,39,4446,114
"37187",2010,"OR","Malheur","SUGAR BEETS","Cold Wet Weather",766,1,17.5,43.7714285714286,766,17.5
"37188",2011,"OR","Malheur","SUGAR BEETS","Cold Wet Weather",2031,2,47,43.2127659574468,1015.5,23.5
"37201",2006,"ID","Minidoka","SUGAR BEETS","Cold Wet Weather",471.2,1,12.4,38,471.2,12.4
"37202",2008,"ID","Minidoka","SUGAR BEETS","Cold Wet Weather",6513,1,167,39,6513,167
"37203",2010,"ID","Minidoka","SUGAR BEETS","Cold Wet Weather",21988.19,2,506.587,43.4045682182922,10994.095,253.2935
"37204",2011,"ID","Minidoka","SUGAR BEETS","Cold Wet Weather",19924,2,289,68.9411764705882,9962,144.5
"37205",2012,"ID","Minidoka","SUGAR BEETS","Cold Wet Weather",9832,1,19.3,509.430051813471,9832,19.3
"37206",2013,"ID","Minidoka","SUGAR BEETS","Cold Wet Weather",24128,1,301.6,80,24128,301.6
"37220",2001,"ID","Owyhee","SUGAR BEETS","Cold Wet Weather",806.05,1,18.62,43.2894736842105,806.05,18.62
"37230",2001,"ID","Payette","SUGAR BEETS","Cold Wet Weather",1296,1,105.1,12.3311132254995,1296,105.1
"37246",2008,"ID","Power","SUGAR BEETS","Cold Wet Weather",87470,2,383.8,227.905158936946,43735,191.9
"37330",2008,"ID","Twin Falls","SUGAR BEETS","Cold Wet Weather",944,1,8.2,115.121951219512,944,8.2
"37331",2011,"ID","Twin Falls","SUGAR BEETS","Cold Wet Weather",10951,1,158.5,69.0914826498423,10951,158.5
"37332",2003,"OR","Union","SUGAR BEETS","Cold Wet Weather",16120,1,75,214.933333333333,16120,75
"37884",2005,"WA","Adams","SWEET CORN","Cold Wet Weather",11796,1,46.8,252.051282051282,11796,46.8
"37885",2006,"WA","Adams","SWEET CORN","Cold Wet Weather",15520.26,1,93.492,166.006289308176,15520.26,93.492
"37889",2011,"WA","Benton","SWEET CORN","Cold Wet Weather",280915.6,2,686.49,409.205669419802,140457.8,343.245
"37904",2011,"ID","Elmore","SWEET CORN","Cold Wet Weather",3122.5,2,32.225,96.8968192397207,1561.25,16.1125
"37913",2011,"WA","Franklin","SWEET CORN","Cold Wet Weather",21435,1,89.4,239.765100671141,21435,89.4
"37921",2003,"ID","Gooding","SWEET CORN","Cold Wet Weather",37122,1,220.1,168.659700136302,37122,220.1
"37922",2009,"WA","Grant","SWEET CORN","Cold Wet Weather",12972,1,40,324.3,12972,40
"37923",2011,"WA","Grant","SWEET CORN","Cold Wet Weather",3822,2,65,58.8,1911,32.5
"37926",2011,"ID","Jerome","SWEET CORN","Cold Wet Weather",27353.8,2,55.899,489.343279844004,13676.9,27.9495
"37964",2002,"ID","Twin Falls","SWEET CORN","Cold Wet Weather",7968,3,140.2,56.8330955777461,2656,46.7333333333333
"37965",2005,"ID","Twin Falls","SWEET CORN","Cold Wet Weather",1266,1,29.4,43.0612244897959,1266,29.4
"37966",2008,"ID","Twin Falls","SWEET CORN","Cold Wet Weather",29070,1,55,528.545454545455,29070,55
"37967",2009,"ID","Twin Falls","SWEET CORN","Cold Wet Weather",187180,3,388.1,482.298376707034,62393.3333333333,129.366666666667
"37968",2011,"ID","Twin Falls","SWEET CORN","Cold Wet Weather",130846.5,4,308.4375,424.223708206687,32711.625,77.109375
"38118",2008,"ID","Ada","WHEAT","Cold Wet Weather",4812,1,32.4,148.518518518519,4812,32.4
"38119",2011,"ID","Ada","WHEAT","Cold Wet Weather",40202.4,6,438.23,91.7381283800744,6700.4,73.0383333333333
"38158",2001,"WA","Adams","WHEAT","Cold Wet Weather",397.2,1,4.836,82.1339950372208,397.2,4.836
"38159",2004,"WA","Adams","WHEAT","Cold Wet Weather",362,2,25.71,14.0801244651886,181,12.855
"38160",2005,"WA","Adams","WHEAT","Cold Wet Weather",4774.55,1,71.5,66.7769230769231,4774.55,71.5
"38161",2007,"WA","Adams","WHEAT","Cold Wet Weather",5304,1,272.32,19.4770857814336,5304,272.32
"38162",2008,"WA","Adams","WHEAT","Cold Wet Weather",132228.24,4,2406.3502,54.9497076526933,33057.06,601.58755
"38163",2009,"WA","Adams","WHEAT","Cold Wet Weather",547714.37,10,3876.7192,141.282961634157,54771.437,387.67192
"38164",2010,"WA","Adams","WHEAT","Cold Wet Weather",67283.87,7,1649.929,40.7798577999417,9611.98142857143,235.704142857143
"38165",2011,"WA","Adams","WHEAT","Cold Wet Weather",347103.88,11,6058.768,57.2895149640983,31554.8981818182,550.797090909091
"38166",2012,"WA","Adams","WHEAT","Cold Wet Weather",15299.5,3,369.345,41.4233304904628,5099.83333333333,123.115
"38167",2013,"WA","Adams","WHEAT","Cold Wet Weather",2234,1,66.5,33.593984962406,2234,66.5
"38168",2014,"WA","Adams","WHEAT","Cold Wet Weather",331050.69,7,5436.4995,60.8940900298069,47292.9557142857,776.642785714286
"38169",2015,"WA","Adams","WHEAT","Cold Wet Weather",5582.6,3,215.33,25.9257883248967,1860.86666666667,71.7766666666667
"38286",2005,"WA","Asotin","WHEAT","Cold Wet Weather",71,1,2.06,34.4660194174757,71,2.06
"38287",2009,"WA","Asotin","WHEAT","Cold Wet Weather",5181,1,47.3,109.53488372093,5181,47.3
"38288",2010,"WA","Asotin","WHEAT","Cold Wet Weather",35248.2,3,906.52,38.8829810704673,11749.4,302.173333333333
"38289",2011,"WA","Asotin","WHEAT","Cold Wet Weather",31090,2,539.79,57.5964727023472,15545,269.895
"38290",2013,"WA","Asotin","WHEAT","Cold Wet Weather",41299,1,438.68,94.1437950214279,41299,438.68
"38350",2004,"ID","Bannock","WHEAT","Cold Wet Weather",111346,1,573.7,194.084016036256,111346,573.7
"38351",2005,"ID","Bannock","WHEAT","Cold Wet Weather",634,1,37.38,16.9609416800428,634,37.38
"38352",2006,"ID","Bannock","WHEAT","Cold Wet Weather",1638,1,130,12.6,1638,130
"38353",2008,"ID","Bannock","WHEAT","Cold Wet Weather",19019,2,305.5,62.2553191489362,9509.5,152.75
"38354",2009,"ID","Bannock","WHEAT","Cold Wet Weather",28497,5,496.9,57.3495673173677,5699.4,99.38
"38355",2010,"ID","Bannock","WHEAT","Cold Wet Weather",45666.05,6,1065.44,42.8612122691095,7611.00833333333,177.573333333333
"38356",2011,"ID","Bannock","WHEAT","Cold Wet Weather",178510.01,9,3076.9673,58.0149194305705,19834.4455555556,341.885255555556
"38357",2012,"ID","Bannock","WHEAT","Cold Wet Weather",1050,1,32.6,32.2085889570552,1050,32.6
"38358",2013,"ID","Bannock","WHEAT","Cold Wet Weather",4730,1,244.8,19.3218954248366,4730,244.8
"38429",2005,"ID","Bear Lake","WHEAT","Cold Wet Weather",3197,1,135.6,23.5766961651917,3197,135.6
"38430",2008,"ID","Bear Lake","WHEAT","Cold Wet Weather",211.4,1,7.49,28.2242990654206,211.4,7.49
"38431",2010,"ID","Bear Lake","WHEAT","Cold Wet Weather",41559,1,229.1,181.4011348756,41559,229.1
"38432",2011,"ID","Bear Lake","WHEAT","Cold Wet Weather",8846,1,279,31.7060931899642,8846,279
"38455",2008,"ID","Benewah","WHEAT","Cold Wet Weather",6450.47,2,151.7902,42.495958237093,3225.235,75.8951
"38456",2009,"ID","Benewah","WHEAT","Cold Wet Weather",350096.5,6,1668.176,209.867843680763,58349.4166666667,278.029333333333
"38457",2010,"ID","Benewah","WHEAT","Cold Wet Weather",25156.1,3,544.195,46.2262608072474,8385.36666666667,181.398333333333
"38458",2011,"ID","Benewah","WHEAT","Cold Wet Weather",447741.23,12,3181.2659,140.743101669056,37311.7691666667,265.105491666667
"38459",2012,"ID","Benewah","WHEAT","Cold Wet Weather",136507.5,3,1256.01,108.683449972532,45502.5,418.67
"38460",2013,"ID","Benewah","WHEAT","Cold Wet Weather",126417,5,1040.83,121.457874965172,25283.4,208.166
"38461",2015,"ID","Benewah","WHEAT","Cold Wet Weather",1240,1,50,24.8,1240,50
"38494",2004,"WA","Benton","WHEAT","Cold Wet Weather",1061.75,1,96.05,11.0541384695471,1061.75,96.05
"38495",2006,"WA","Benton","WHEAT","Cold Wet Weather",32086,3,2031.504,15.7942096102198,10695.3333333333,677.168
"38496",2009,"WA","Benton","WHEAT","Cold Wet Weather",3405,1,94.795,35.9196160135028,3405,94.795
"38497",2010,"WA","Benton","WHEAT","Cold Wet Weather",3101,1,149.1,20.7981220657277,3101,149.1
"38498",2014,"WA","Benton","WHEAT","Cold Wet Weather",5727.25,2,358.9775,15.9543425423599,2863.625,179.48875
"38531",2001,"ID","Bingham","WHEAT","Cold Wet Weather",235,1,23,10.2173913043478,235,23
"38532",2002,"ID","Bingham","WHEAT","Cold Wet Weather",11861.2,1,62,191.309677419355,11861.2,62
"38533",2004,"ID","Bingham","WHEAT","Cold Wet Weather",493554,3,3483.9,141.667097218634,164518,1161.3
"38534",2005,"ID","Bingham","WHEAT","Cold Wet Weather",1786,1,111.2,16.0611510791367,1786,111.2
"38535",2006,"ID","Bingham","WHEAT","Cold Wet Weather",413,2,25,16.52,206.5,12.5
"38536",2007,"ID","Bingham","WHEAT","Cold Wet Weather",9062,2,190.6,47.5445960125918,4531,95.3
"38537",2008,"ID","Bingham","WHEAT","Cold Wet Weather",446590,5,1433.7,311.49473390528,89318,286.74
"38538",2009,"ID","Bingham","WHEAT","Cold Wet Weather",213090,6,1667.23,127.810799949617,35515,277.871666666667
"38539",2010,"ID","Bingham","WHEAT","Cold Wet Weather",335493.32,6,2667.247,125.782621556984,55915.5533333333,444.541166666667
"38540",2011,"ID","Bingham","WHEAT","Cold Wet Weather",1635856.32,11,8699.093,188.049066724542,148714.210909091,790.826636363636
"38541",2012,"ID","Bingham","WHEAT","Cold Wet Weather",394244,8,2670.24,147.643657498951,49280.5,333.78
"38542",2013,"ID","Bingham","WHEAT","Cold Wet Weather",230562,5,888.16,259.595117996757,46112.4,177.632
"38543",2014,"ID","Bingham","WHEAT","Cold Wet Weather",31931,2,114.5,278.873362445415,15965.5,57.25
"38544",2015,"ID","Bingham","WHEAT","Cold Wet Weather",168217,4,1300.4,129.357889880037,42054.25,325.1
"38598",2001,"ID","Bonneville","WHEAT","Cold Wet Weather",6987,1,168.2,41.5398335315101,6987,168.2
"38599",2008,"ID","Bonneville","WHEAT","Cold Wet Weather",243,1,1.46,166.438356164384,243,1.46
"38600",2009,"ID","Bonneville","WHEAT","Cold Wet Weather",61602.3,5,261.46,235.608888548918,12320.46,52.292
"38601",2010,"ID","Bonneville","WHEAT","Cold Wet Weather",16,1,15.9,1.0062893081761,16,15.9
"38602",2011,"ID","Bonneville","WHEAT","Cold Wet Weather",200818.9,7,1711.14,117.359713407436,28688.4142857143,244.448571428571
"38797",2013,"ID","Butte","WHEAT","Cold Wet Weather",5897,1,222.1,26.5511031067087,5897,222.1
"38885",2006,"ID","Canyon","WHEAT","Cold Wet Weather",8799.6,1,50.58,173.973902728351,8799.6,50.58
"38886",2008,"ID","Canyon","WHEAT","Cold Wet Weather",589,1,13.8,42.6811594202899,589,13.8
"38887",2011,"ID","Canyon","WHEAT","Cold Wet Weather",45316,2,209.44,216.367456073338,22658,104.72
"38899",2003,"ID","Caribou","WHEAT","Cold Wet Weather",14478,2,149,97.1677852348993,7239,74.5
"38900",2006,"ID","Caribou","WHEAT","Cold Wet Weather",23845.8,2,192.36,123.964441671865,11922.9,96.18
"38901",2007,"ID","Caribou","WHEAT","Cold Wet Weather",14188.1,2,201.24,70.5033790498907,7094.05,100.62
"38902",2008,"ID","Caribou","WHEAT","Cold Wet Weather",106220.6,2,1163.39,91.3026586097525,53110.3,581.695
"38903",2009,"ID","Caribou","WHEAT","Cold Wet Weather",172622.1,7,1574.48,109.637531121386,24660.3,224.925714285714
"38904",2010,"ID","Caribou","WHEAT","Cold Wet Weather",64371,4,585.45,109.951319497822,16092.75,146.3625
"38905",2011,"ID","Caribou","WHEAT","Cold Wet Weather",538671.2,13,5254.382,102.518469346157,41436.2461538462,404.183230769231
"38906",2012,"ID","Caribou","WHEAT","Cold Wet Weather",156098.42,6,1315.06,118.700606816419,26016.4033333333,219.176666666667
"38907",2013,"ID","Caribou","WHEAT","Cold Wet Weather",4905,1,146,33.5958904109589,4905,146
"38908",2015,"ID","Caribou","WHEAT","Cold Wet Weather",5054.02,2,177.156,28.5286414233783,2527.01,88.578
"38995",2006,"ID","Cassia","WHEAT","Cold Wet Weather",2123,1,128.4,16.5342679127726,2123,128.4
"38996",2008,"ID","Cassia","WHEAT","Cold Wet Weather",11645,1,120,97.0416666666667,11645,120
"38997",2009,"ID","Cassia","WHEAT","Cold Wet Weather",11692.25,1,30,389.741666666667,11692.25,30
"38998",2010,"ID","Cassia","WHEAT","Cold Wet Weather",35967.58,3,549.708,65.4303375610324,11989.1933333333,183.236
"38999",2011,"ID","Cassia","WHEAT","Cold Wet Weather",173935.6,5,1408.63,123.478557179671,34787.12,281.726
"39000",2012,"ID","Cassia","WHEAT","Cold Wet Weather",1260.27,1,39.138,32.2006745362563,1260.27,39.138
"39001",2015,"ID","Cassia","WHEAT","Cold Wet Weather",9518,1,58.8,161.87074829932,9518,58.8
"39233",2001,"ID","Clearwater","WHEAT","Cold Wet Weather",448,1,53.29,8.40683054982173,448,53.29
"39234",2002,"ID","Clearwater","WHEAT","Cold Wet Weather",21,1,13.12,1.60060975609756,21,13.12
"39235",2008,"ID","Clearwater","WHEAT","Cold Wet Weather",61595.4,3,935.65,65.831667824507,20531.8,311.883333333333
"39236",2009,"ID","Clearwater","WHEAT","Cold Wet Weather",238284.4,1,1032.4,230.806276636962,238284.4,1032.4
"39237",2010,"ID","Clearwater","WHEAT","Cold Wet Weather",5867,2,444,13.213963963964,2933.5,222
"39238",2011,"ID","Clearwater","WHEAT","Cold Wet Weather",439842,6,3486.152,126.168336894088,73307,581.025333333333
"39239",2012,"ID","Clearwater","WHEAT","Cold Wet Weather",58048.4,5,1036.215,56.0196484320339,11609.68,207.243
"39240",2013,"ID","Clearwater","WHEAT","Cold Wet Weather",15390,2,331.7325,46.3928014288621,7695,165.86625
"39241",2014,"ID","Clearwater","WHEAT","Cold Wet Weather",24638,1,213.65,115.319447694828,24638,213.65
"39335",2001,"WA","Columbia","WHEAT","Cold Wet Weather",8062.5,2,183.5225,43.9319429497746,4031.25,91.76125
"39336",2004,"WA","Columbia","WHEAT","Cold Wet Weather",15604,1,318.9,48.9306992787708,15604,318.9
"39337",2006,"WA","Columbia","WHEAT","Cold Wet Weather",3126,1,124.62,25.0842561386615,3126,124.62
"39338",2009,"WA","Columbia","WHEAT","Cold Wet Weather",64668.14,3,542.6092,119.179954928888,21556.0466666667,180.869733333333
"39339",2010,"WA","Columbia","WHEAT","Cold Wet Weather",33022.51,4,1027.5245,32.137929557884,8255.6275,256.881125
"39340",2011,"WA","Columbia","WHEAT","Cold Wet Weather",95931.2,2,564.29,170.003367063035,47965.6,282.145
"39802",2001,"WA","Douglas","WHEAT","Cold Wet Weather",6776.32,2,322.3314,21.0228355040806,3388.16,161.1657
"39803",2006,"WA","Douglas","WHEAT","Cold Wet Weather",65607.54,7,5424.2968,12.0951235559234,9372.50571428571,774.899542857143
"39804",2007,"WA","Douglas","WHEAT","Cold Wet Weather",1710,1,128.24,13.3343730505303,1710,128.24
"39805",2008,"WA","Douglas","WHEAT","Cold Wet Weather",38314.08,1,196.1764,195.304226196423,38314.08,196.1764
"39806",2009,"WA","Douglas","WHEAT","Cold Wet Weather",1760.85,1,10.9025,161.508828250401,1760.85,10.9025
"39807",2010,"WA","Douglas","WHEAT","Cold Wet Weather",150192.25,5,1074.65,139.759223933374,30038.45,214.93
"39808",2011,"WA","Douglas","WHEAT","Cold Wet Weather",408855.05,9,7156.106,57.1337330665588,45428.3388888889,795.122888888889
"39809",2012,"WA","Douglas","WHEAT","Cold Wet Weather",2899,2,90,32.2111111111111,1449.5,45
"39922",2006,"ID","Elmore","WHEAT","Cold Wet Weather",10908,1,714.7,15.2623478382538,10908,714.7
"39923",2007,"ID","Elmore","WHEAT","Cold Wet Weather",74683,3,281.3,265.492356914326,24894.3333333333,93.7666666666667
"39924",2008,"ID","Elmore","WHEAT","Cold Wet Weather",239878,5,926,259.047516198704,47975.6,185.2
"39925",2009,"ID","Elmore","WHEAT","Cold Wet Weather",60575,1,123.4,490.883306320908,60575,123.4
"39926",2010,"ID","Elmore","WHEAT","Cold Wet Weather",132452.1,5,1116.94,118.584794169785,26490.42,223.388
"39927",2011,"ID","Elmore","WHEAT","Cold Wet Weather",259717,4,2004.41,129.572791993654,64929.25,501.1025
"39928",2012,"ID","Elmore","WHEAT","Cold Wet Weather",118123,3,618.9,190.859589594442,39374.3333333333,206.3
"39929",2013,"ID","Elmore","WHEAT","Cold Wet Weather",373346.1,3,2468.9,151.219611972943,124448.7,822.966666666667
"40063",2008,"ID","Franklin","WHEAT","Cold Wet Weather",1628,1,369.23,4.40917585244969,1628,369.23
"40064",2010,"ID","Franklin","WHEAT","Cold Wet Weather",10878.2,2,172.598,63.026222783578,5439.1,86.299
"40065",2011,"ID","Franklin","WHEAT","Cold Wet Weather",46572.5,8,976.6775,47.6846246586002,5821.5625,122.0846875
"40114",2002,"WA","Franklin","WHEAT","Cold Wet Weather",3075,2,527.63,5.82794761480583,1537.5,263.815
"40115",2004,"WA","Franklin","WHEAT","Cold Wet Weather",5867,2,382,15.3586387434555,2933.5,191
"40116",2009,"WA","Franklin","WHEAT","Cold Wet Weather",245361.69,4,1406.46,174.453372296404,61340.4225,351.615
"40117",2011,"WA","Franklin","WHEAT","Cold Wet Weather",43866.5,8,1128.4175,38.874352799385,5483.3125,141.0521875
"40118",2012,"WA","Franklin","WHEAT","Cold Wet Weather",1775,1,413.59,4.29168983776203,1775,413.59
"40119",2013,"WA","Franklin","WHEAT","Cold Wet Weather",80959,1,1864.6,43.4189638528371,80959,1864.6
"40120",2014,"WA","Franklin","WHEAT","Cold Wet Weather",12417,2,158.85,78.1680830972616,6208.5,79.425
"40130",2008,"ID","Fremont","WHEAT","Cold Wet Weather",2504,1,109.4,22.8884826325411,2504,109.4
"40131",2010,"ID","Fremont","WHEAT","Cold Wet Weather",27191,3,239.4,113.579782790309,9063.66666666667,79.8
"40132",2011,"ID","Fremont","WHEAT","Cold Wet Weather",113629.57,7,757.357,150.034356320731,16232.7957142857,108.193857142857
"40133",2012,"ID","Fremont","WHEAT","Cold Wet Weather",13830.26,2,168.244,82.2035852690141,6915.13,84.122
"40134",2013,"ID","Fremont","WHEAT","Cold Wet Weather",63300,2,153.4,412.64667535854,31650,76.7
"40135",2014,"ID","Fremont","WHEAT","Cold Wet Weather",30838.5,2,182.01,169.432998186913,15419.25,91.005
"40211",2002,"WA","Garfield","WHEAT","Cold Wet Weather",2027,1,132.53,15.2946502678639,2027,132.53
"40212",2004,"WA","Garfield","WHEAT","Cold Wet Weather",7567,2,559.54,13.5236086785574,3783.5,279.77
"40213",2006,"WA","Garfield","WHEAT","Cold Wet Weather",613.2,1,7.98,76.8421052631579,613.2,7.98
"40214",2009,"WA","Garfield","WHEAT","Cold Wet Weather",16554,1,161.6,102.438118811881,16554,161.6
"40215",2011,"WA","Garfield","WHEAT","Cold Wet Weather",685.4,1,50.06,13.691570115861,685.4,50.06
"40263",2004,"OR","Gilliam","WHEAT","Cold Wet Weather",14570.4,3,1005.898,14.484967660737,4856.8,335.299333333333
"40264",2006,"OR","Gilliam","WHEAT","Cold Wet Weather",76389.4,4,5059.52,15.0981516033141,19097.35,1264.88
"40265",2010,"OR","Gilliam","WHEAT","Cold Wet Weather",46568,5,1865.66,24.9606037541674,9313.6,373.132
"40266",2011,"OR","Gilliam","WHEAT","Cold Wet Weather",26625.5,6,938.315,28.3758652478112,4437.58333333333,156.385833333333
"40267",2012,"OR","Gilliam","WHEAT","Cold Wet Weather",2984.8,1,206.42,14.4598391628718,2984.8,206.42
"40268",2013,"OR","Gilliam","WHEAT","Cold Wet Weather",4366.5,1,129.95,33.6013851481339,4366.5,129.95
"40292",2012,"ID","Gooding","WHEAT","Cold Wet Weather",2241,1,69.6,32.198275862069,2241,69.6
"40342",2007,"WA","Grant","WHEAT","Cold Wet Weather",10628,1,43.3,245.450346420323,10628,43.3
"40343",2008,"WA","Grant","WHEAT","Cold Wet Weather",16420,1,98,167.551020408163,16420,98
"40344",2009,"WA","Grant","WHEAT","Cold Wet Weather",370299.26,3,1317.066,281.154672582847,123433.086666667,439.022
"40345",2010,"WA","Grant","WHEAT","Cold Wet Weather",49069,3,929.29,52.8026773127872,16356.3333333333,309.763333333333
"40346",2011,"WA","Grant","WHEAT","Cold Wet Weather",272129.79,3,2144.4551,126.899271521236,90709.93,714.818366666667
"40347",2012,"WA","Grant","WHEAT","Cold Wet Weather",75966.28,2,318.6063,238.433075554375,37983.14,159.30315
"40348",2013,"WA","Grant","WHEAT","Cold Wet Weather",16409,1,489.86,33.4973257665455,16409,489.86
"40349",2014,"WA","Grant","WHEAT","Cold Wet Weather",24930,2,927.5,26.8787061994609,12465,463.75
"40814",2002,"ID","Idaho","WHEAT","Cold Wet Weather",546,1,67.1,8.1371087928465,546,67.1
"40815",2004,"ID","Idaho","WHEAT","Cold Wet Weather",335,1,25,13.4,335,25
"40816",2008,"ID","Idaho","WHEAT","Cold Wet Weather",26832.2,4,556.633,48.2044722465251,6708.05,139.15825
"40817",2009,"ID","Idaho","WHEAT","Cold Wet Weather",168255.4,8,589.15,285.590087414071,21031.925,73.64375
"40818",2010,"ID","Idaho","WHEAT","Cold Wet Weather",109376.82,5,1608.406,68.0032404753526,21875.364,321.6812
"40819",2011,"ID","Idaho","WHEAT","Cold Wet Weather",1635573,9,11858.65,137.922360471049,181730.333333333,1317.62777777778
"40820",2012,"ID","Idaho","WHEAT","Cold Wet Weather",206567.7,7,1743.574,118.4737212186,29509.6714285714,249.082
"40821",2013,"ID","Idaho","WHEAT","Cold Wet Weather",1546,1,46,33.6086956521739,1546,46
"40822",2014,"ID","Idaho","WHEAT","Cold Wet Weather",31834,4,152.12,209.268998159348,7958.5,38.03
"40823",2015,"ID","Idaho","WHEAT","Cold Wet Weather",1944.8,2,78.488,24.7783100601366,972.4,39.244
"40959",2009,"ID","Jefferson","WHEAT","Cold Wet Weather",29691.6,2,213.88,138.823639423976,14845.8,106.94
"40960",2011,"ID","Jefferson","WHEAT","Cold Wet Weather",7932.5,3,144.225,55.0008667013347,2644.16666666667,48.075
"40961",2014,"ID","Jefferson","WHEAT","Cold Wet Weather",6142,1,41.1,149.440389294404,6142,41.1
"40993",2011,"OR","Jefferson","WHEAT","Cold Wet Weather",183919,2,1502.5,122.408652246256,91959.5,751.25
"40994",2012,"OR","Jefferson","WHEAT","Cold Wet Weather",55224,3,497.7,110.958408679928,18408,165.9
"41014",2011,"ID","Jerome","WHEAT","Cold Wet Weather",20556.8,4,357.1,57.5659479137496,5139.2,89.275
"41215",2005,"OR","Klamath","WHEAT","Cold Wet Weather",167324,2,1386.5,120.68085106383,83662,693.25
"41216",2006,"OR","Klamath","WHEAT","Cold Wet Weather",453,1,31.35,14.4497607655502,453,31.35
"41217",2008,"OR","Klamath","WHEAT","Cold Wet Weather",33686.5,3,259.8,129.663202463433,11228.8333333333,86.6
"41218",2010,"OR","Klamath","WHEAT","Cold Wet Weather",26629,1,147.3,180.780719619823,26629,147.3
"41219",2011,"OR","Klamath","WHEAT","Cold Wet Weather",912593.4,4,2787.64,327.371324848259,228148.35,696.91
"41220",2014,"OR","Klamath","WHEAT","Cold Wet Weather",6097,1,51.2,119.08203125,6097,51.2
"41221",2006,"WA","Klickitat","WHEAT","Cold Wet Weather",52137.5,7,1929.378,27.0229576578566,7448.21428571429,275.625428571429
"41222",2007,"WA","Klickitat","WHEAT","Cold Wet Weather",8536.4,3,295.14,28.9232228772786,2845.46666666667,98.38
"41223",2008,"WA","Klickitat","WHEAT","Cold Wet Weather",14553.64,5,620.705,23.4469514503669,2910.728,124.141
"41224",2009,"WA","Klickitat","WHEAT","Cold Wet Weather",273614.6,3,1420.052,192.679282167132,91204.8666666667,473.350666666667
"41225",2010,"WA","Klickitat","WHEAT","Cold Wet Weather",90229.96,9,2839.908,31.7721419144564,10025.5511111111,315.545333333333
"41226",2011,"WA","Klickitat","WHEAT","Cold Wet Weather",172615.7,7,2217.955,77.8265113584361,24659.3857142857,316.850714285714
"41227",2012,"WA","Klickitat","WHEAT","Cold Wet Weather",5628.9,3,587.457,9.58180768975432,1876.3,195.819
"41228",2013,"WA","Klickitat","WHEAT","Cold Wet Weather",264.5,1,22.12,11.9575045207957,264.5,22.12
"41229",2014,"WA","Klickitat","WHEAT","Cold Wet Weather",19985.63,2,377.169,52.9885276891791,9992.815,188.5845
"41261",2010,"ID","Kootenai","WHEAT","Cold Wet Weather",29360,1,239.7,122.486441385065,29360,239.7
"41262",2011,"ID","Kootenai","WHEAT","Cold Wet Weather",284954.6,6,1967.252,144.849058483611,47492.4333333333,327.875333333333
"41263",2012,"ID","Kootenai","WHEAT","Cold Wet Weather",123296,4,1155.815,106.674511059296,30824,288.95375
"41264",2013,"ID","Kootenai","WHEAT","Cold Wet Weather",80429.9,4,602.423,133.510672733279,20107.475,150.60575
"41265",2015,"ID","Kootenai","WHEAT","Cold Wet Weather",2480,1,100,24.8,2480,100
"41367",2003,"ID","Latah","WHEAT","Cold Wet Weather",1601,1,440.66,3.63318658376072,1601,440.66
"41368",2004,"ID","Latah","WHEAT","Cold Wet Weather",538,1,40.04,13.4365634365634,538,40.04
"41369",2009,"ID","Latah","WHEAT","Cold Wet Weather",108910.4,5,530.797,205.182772321622,21782.08,106.1594
"41370",2010,"ID","Latah","WHEAT","Cold Wet Weather",207459.9,8,3907.465,53.0932202847626,25932.4875,488.433125
"41371",2011,"ID","Latah","WHEAT","Cold Wet Weather",857207.94,11,8389.558,102.1755782605,77927.9945454545,762.687090909091
"41372",2012,"ID","Latah","WHEAT","Cold Wet Weather",293914.6,5,4000.991,73.4604501734695,58782.92,800.1982
"41373",2013,"ID","Latah","WHEAT","Cold Wet Weather",7852.01,4,201.8894,38.8926313119956,1963.0025,50.47235
"41374",2014,"ID","Latah","WHEAT","Cold Wet Weather",4597,1,171,26.8830409356725,4597,171
"41375",2015,"ID","Latah","WHEAT","Cold Wet Weather",2356,1,95,24.8,2356,95
"41472",2001,"ID","Lewis","WHEAT","Cold Wet Weather",646,1,54.69,11.8120314499909,646,54.69
"41473",2007,"ID","Lewis","WHEAT","Cold Wet Weather",2280,2,128.9,17.6881303335919,1140,64.45
"41474",2008,"ID","Lewis","WHEAT","Cold Wet Weather",187271.8,7,1544.688,121.236003646044,26753.1142857143,220.669714285714
"41475",2009,"ID","Lewis","WHEAT","Cold Wet Weather",129844.4,4,448.094,289.770449950234,32461.1,112.0235
"41476",2010,"ID","Lewis","WHEAT","Cold Wet Weather",294289.01,14,5213.5036,56.4474550281312,21020.6435714286,372.393114285714
"41477",2011,"ID","Lewis","WHEAT","Cold Wet Weather",458297,8,4750.14,96.4807353046436,57287.125,593.7675
"41478",2012,"ID","Lewis","WHEAT","Cold Wet Weather",277882,10,3119.67,89.074164895646,27788.2,311.967
"41479",2013,"ID","Lewis","WHEAT","Cold Wet Weather",1579,2,47,33.5957446808511,789.5,23.5
